search_role,title,company,location,category,description,created,url,search_text,mentions_Python,mentions_SQL,mentions_Power_BI,mentions_Excel,mentions_Tableau,mentions_Pandas,mentions_Machine_Learning,mentions_Statistics,role_searched,city_searched
MIS_executive_Bangalore,MIS Executive,Not disclosed,"Bangalore, Karnataka",Admin Jobs,"Job description Maintain running report of attendance incidents Monitor attendance and schedule adherence Use accuracy of schedule measurements for continuous improvement, including making recommendations to improve scheduling efficiency and team member satisfaction Performs any other related duties as required or assignedPrepares intraday reports on staff attendance Manages changes to scheduling to ensure adequate daily resource coverage Communicate with management and operations team to ensur…",2024-05-10T07:39:02Z,https://www.adzuna.in/details/4686706627?utm_medium=api&utm_source=bf82a680,"mis executive admin jobs job description maintain running report of attendance incidents monitor attendance and schedule adherence use accuracy of schedule measurements for continuous improvement, including making recommendations to improve scheduling efficiency and team member satisfaction performs any other related duties as required or assignedprepares intraday reports on staff attendance manages changes to scheduling to ensure adequate daily resource coverage communicate with management and operations team to ensur…",False,False,False,False,False,False,False,False,MIS_executive,Bangalore
MIS_executive_Bangalore,MIS Executive,Clover Infotech,"Bangalore, Karnataka",IT Jobs,"We need MIS Executive in Banking domain for Bangalore Need immediate joiner Job Description: Should have strong experience in Advanced Excel. Should be able to do reconciliation activities without any error. Knowledge on Application ID Maintenance activities will be added advantage. Candidate relevant experience should be minimum 1 year. Experience working with any banks will be preferred. Skills: Banking, mis operations, Advanced Excel Experience: 2.00-3.00 Years",2026-06-13T08:47:35Z,https://www.adzuna.in/details/5761949488?utm_medium=api&utm_source=bf82a680,"mis executive it jobs we need mis executive in banking domain for bangalore need immediate joiner job description: should have strong experience in advanced excel. should be able to do reconciliation activities without any error. knowledge on application id maintenance activities will be added advantage. candidate relevant experience should be minimum 1 year. experience working with any banks will be preferred. skills: banking, mis operations, advanced excel experience: 2.00-3.00 years",False,False,False,True,False,False,False,False,MIS_executive,Bangalore
MIS_executive_Bangalore,Mis Executive,Iss India,"Bangalore, Karnataka",IT Jobs,"Job Description: Data Management & Reporting: Collect, validate, and consolidate data from multiple sites, departments, and service lines (Engineering, FM, Security, Finance, Procurement, P&C, etc.). Prepare weekly, monthly, and quarterly dashboards on operational KPIs, SLAs, and compliance metrics. Maintain centralized trackers issue logs, AMC renewals, PR/PO status, savings models, manpower deployment, etc. Automate recurring reports using Excel formulas, pivot tables, Power Query, and other …",2026-07-11T07:21:31Z,https://www.adzuna.in/details/5796417205?utm_medium=api&utm_source=bf82a680,"mis executive it jobs job description: data management & reporting: collect, validate, and consolidate data from multiple sites, departments, and service lines (engineering, fm, security, finance, procurement, p&c, etc.). prepare weekly, monthly, and quarterly dashboards on operational kpis, slas, and compliance metrics. maintain centralized trackers issue logs, amc renewals, pr/po status, savings models, manpower deployment, etc. automate recurring reports using excel formulas, pivot tables, power query, and other …",False,False,False,True,False,False,False,False,MIS_executive,Bangalore
MIS_executive_Bangalore,Sr. MIS Executive,Dotball Interactive Private Limited,"Bangalore, Karnataka",Admin Jobs,"Skill Set: Advance Excel : Lookup/Reference: Vlookup , Hlookup, Transpose, & Hyper Link Sort & Custom Sort, Filter & Advanced Filter, Pivot Table, Duplicate Data Check Data Validation, Consolidate, Conditional Formatting, Grouping Data Statistical:Max, Min, Average, Count, Counta, Countif, Countifs Good knowledge on Macros Responsibilities: Preparation of daily, weekly & monthly reports for the management. Hands on experience in MS-Excel and other MIS tools. Arranging the data according to the …",2019-06-05T21:12:06Z,https://www.adzuna.in/details/1171507170?utm_medium=api&utm_source=bf82a680,"sr. mis executive admin jobs skill set: advance excel : lookup/reference: vlookup , hlookup, transpose, & hyper link sort & custom sort, filter & advanced filter, pivot table, duplicate data check data validation, consolidate, conditional formatting, grouping data statistical:max, min, average, count, counta, countif, countifs good knowledge on macros responsibilities: preparation of daily, weekly & monthly reports for the management. hands on experience in ms-excel and other mis tools. arranging the data according to the …",False,False,False,True,False,False,False,True,MIS_executive,Bangalore
MIS_executive_Bangalore,BPO MIS Executive,G7 CR Technologies,"Bangalore, Karnataka",Accounting & Finance Jobs,Ensures the Daily/Weekly/Monthly reporting are sent timely Ensure Accuracy of data reported Updates and analyzes monthly billing hours reports Prepares daily status report to keep a check on internal targets Review the collated data to drive inferences and trends to improve process performance. Analyzes productivity and inquires into the causes of slippages. Attends weekly review meetings with clients on various reports. Customizes reports as required by clients. Audits all MI prepared by the E…,2021-04-02T04:47:54Z,https://www.adzuna.in/details/2092426439?utm_medium=api&utm_source=bf82a680,bpo mis executive accounting & finance jobs ensures the daily/weekly/monthly reporting are sent timely ensure accuracy of data reported updates and analyzes monthly billing hours reports prepares daily status report to keep a check on internal targets review the collated data to drive inferences and trends to improve process performance. analyzes productivity and inquires into the causes of slippages. attends weekly review meetings with clients on various reports. customizes reports as required by clients. audits all mi prepared by the e…,False,False,False,False,False,False,False,False,MIS_executive,Bangalore
MIS_executive_Bangalore,MIS Executive/Back-end Support,RECEX,"Bangalore, Karnataka",Admin Jobs,"Job Description: Key Responsibilities: Handle backend operations and administrative support. Maintain and update records, MIS reports, and databases. Coordinate with sales, operations, and accounts teams. Prepare quotations, invoices, and documentation. Follow up with clients for pending documents/payments. Manage email communication and internal reporting. Ensure data accuracy in CRM/ERP systems. Support management with reports and analysis. Tally is must",2026-05-14T02:10:27Z,https://www.adzuna.in/details/5728284551?utm_medium=api&utm_source=bf82a680,"mis executive/back-end support admin jobs job description: key responsibilities: handle backend operations and administrative support. maintain and update records, mis reports, and databases. coordinate with sales, operations, and accounts teams. prepare quotations, invoices, and documentation. follow up with clients for pending documents/payments. manage email communication and internal reporting. ensure data accuracy in crm/erp systems. support management with reports and analysis. tally is must",False,False,False,False,False,False,False,False,MIS_executive,Bangalore
MIS_executive_Bangalore,Opening for MIS Executive with Strong knowledge on MSoffice Dashboard Reporting,FNF India Private Limited,"Bangalore, Karnataka",IT Jobs,Key Accountabilities Should possess Expert level knowledge on MS Office especially Excel Reporting Dashboards Capable of writing macros plotting various types of graphs etc Good in PPT and reporting Should have good PowerBI skills Should be gogetter and task oriented keeping stakeholders informed and updated on any issues updates proactively Work towards resolutions of issues proactively Help team accomplish daily weekly and monthly tasks Comply with the required standards for performance Contr…,2026-07-14T06:32:27Z,https://www.adzuna.in/details/5799340772?utm_medium=api&utm_source=bf82a680,opening for mis executive with strong knowledge on msoffice dashboard reporting it jobs key accountabilities should possess expert level knowledge on ms office especially excel reporting dashboards capable of writing macros plotting various types of graphs etc good in ppt and reporting should have good powerbi skills should be gogetter and task oriented keeping stakeholders informed and updated on any issues updates proactively work towards resolutions of issues proactively help team accomplish daily weekly and monthly tasks comply with the required standards for performance contr…,False,False,True,True,False,False,False,False,MIS_executive,Bangalore
MIS_executive_Bangalore,DGM / AGM - Finance & Accounting (Automotive Showroom) - Bangalore,Golden Opportunities,"Bangalore, Karnataka",Accounting & Finance Jobs,"Job Title: DGM / AGM - Finance & Accounting Roles and Responsibilities: o Responsible for the maintenance of all ledgers, bank reconciliations, journal entries o Administer the general accounting processes with other group companies which includes fixed assets accounts and provide financial reports o Reconciliation of vendor and customer ledgers o Preparation and making timely payment of taxes o Ensure all process controls are in place, including receivable & payable management o Define and exe…",2026-08-06T17:51:56Z,https://www.adzuna.in/land/ad/5830417614?se=jtUqwKuU8RGiKPzAuxmgXQ&utm_medium=api&utm_source=bf82a680&v=6A524E75AA2F3EBA515D2F29BF45DF968691ADFE,"dgm / agm - finance & accounting (automotive showroom) - bangalore accounting & finance jobs job title: dgm / agm - finance & accounting roles and responsibilities: o responsible for the maintenance of all ledgers, bank reconciliations, journal entries o administer the general accounting processes with other group companies which includes fixed assets accounts and provide financial reports o reconciliation of vendor and customer ledgers o preparation and making timely payment of taxes o ensure all process controls are in place, including receivable & payable management o define and exe…",False,False,False,False,False,False,False,False,MIS_executive,Bangalore
MIS_executive_Bangalore,Project Controller,Simpliwork,"Bangalore, Karnataka",Engineering Jobs,"Department Projects Designation Senior Manager Location Bengaluru Reporting To Vice President – Design & Product Simpliwork is looking for an experienced Project Controller to lead project planning, governance, documentation, commercial controls, and execution monitoring across multiple workplace fit-out projects. The role will act as the central point of control for project schedules, budgets, documentation, risk management, stakeholder coordination, and performance reporting, ensuring success…",2026-08-06T17:50:19Z,https://www.adzuna.in/land/ad/5830416698?se=jtUqwKuU8RGiKPzAuxmgXQ&utm_medium=api&utm_source=bf82a680&v=C36E2C5D51E6FD4B9AE58F32C63A77CA0F8ACC15,"project controller engineering jobs department projects designation senior manager location bengaluru reporting to vice president – design & product simpliwork is looking for an experienced project controller to lead project planning, governance, documentation, commercial controls, and execution monitoring across multiple workplace fit-out projects. the role will act as the central point of control for project schedules, budgets, documentation, risk management, stakeholder coordination, and performance reporting, ensuring success…",False,False,False,False,False,False,False,False,MIS_executive,Bangalore
MIS_executive_Bangalore,Executive Assistant,Xencia Technology Solutions,"Bangalore, Karnataka",Admin Jobs,"Job Title: Secretary to CEO / Executive Assistant Location: Bangalore (Work from office) Industry: Information Technology / IT Services Job Summary The Secretary to the CEO provides executive administrative and coordination support to the CEO in a fast-paced IT services environment. The role requires strong business communication, confidentiality, stakeholder coordination, and the ability to manage executive schedules, corporate documentation, and operational priorities aligned with Indian corp…",2026-08-07T17:55:48Z,https://www.adzuna.in/land/ad/5831966022?se=jtUqwKuU8RGiKPzAuxmgXQ&utm_medium=api&utm_source=bf82a680&v=FCE47183C1C2FF890CFC8F167EB56C7F7B6E5FFD,"executive assistant admin jobs job title: secretary to ceo / executive assistant location: bangalore (work from office) industry: information technology / it services job summary the secretary to the ceo provides executive administrative and coordination support to the ceo in a fast-paced it services environment. the role requires strong business communication, confidentiality, stakeholder coordination, and the ability to manage executive schedules, corporate documentation, and operational priorities aligned with indian corp…",False,False,False,False,False,False,False,False,MIS_executive,Bangalore
